,customer_id,sales_ymd,amount
0,CS040214000008,23.0,
1,CS015415000185,22.0,20153.0
2,CS010214000010,22.0,18585.0
3,CS010214000002,21.0,
4,CS028415000007,21.0,19127.0
5,CS017415000097,20.0,23086.0
6,CS016415000141,20.0,18372.0
7,CS031414000051,19.0,19202.0
8,CS014214000023,19.0,
9,CS022515000226,19.0,
10,CS021515000172,19.0,
11,CS039414000052,19.0,
12,CS021514000045,19.0,
13,CS022515000028,18.0,
14,CS030214000008,18.0,
15,CS021515000056,18.0,
16,CS014415000077,18.0,
17,CS021515000211,18.0,
18,CS032415000209,18.0,
19,CS031414000073,18.0,
20,CS001605000009,,18925.0
21,CS006515000023,,18372.0
22,CS011414000106,,18338.0
23,CS038415000104,,17847.0
24,CS035414000024,,17615.0
25,CS021515000089,,17580.0
26,CS032414000072,,16563.0
27,CS016415000101,,16348.0
28,CS011415000006,,16094.0
29,CS034415000047,,16083.0
30,CS007514000094,,15735.0
31,CS009414000059,,15492.0
32,CS030415000034,,15468.0
33,CS015515000034,,15300.0
