,customer_id,amount_2019,amount_all,amount_rate
2,CS031415000172,2971.0,5088.0,0.5839229559748428
6,CS015414000103,874.0,3122.0,0.27994875080076875
12,CS011215000048,248.0,3444.0,0.07200929152148665
15,CS029415000023,3767.0,5167.0,0.7290497387265338
21,CS035415000029,5823.0,7504.0,0.7759861407249466
23,CS023513000066,208.0,771.0,0.2697795071335927
24,CS035513000134,463.0,1565.0,0.2958466453674121
27,CS001515000263,216.0,216.0,1.0
30,CS006415000279,229.0,229.0,1.0
32,CS031415000106,215.0,7741.0,0.027774189381216896
