,product_cd,category_major_cd,category_medium_cd,category_small_cd,unit_price,unit_cost,category_major_name,category_medium_name,category_small_name
0,P040101001,04,401,40101,198.0,149.0,惣菜,御飯類,弁当類
1,P040101002,04,401,40101,218.0,164.0,惣菜,御飯類,弁当類
2,P040101003,04,401,40101,230.0,173.0,惣菜,御飯類,弁当類
3,P040101004,04,401,40101,248.0,186.0,惣菜,御飯類,弁当類
4,P040101005,04,401,40101,268.0,201.0,惣菜,御飯類,弁当類
5,P040101006,04,401,40101,298.0,224.0,惣菜,御飯類,弁当類
6,P040101007,04,401,40101,338.0,254.0,惣菜,御飯類,弁当類
7,P040101008,04,401,40101,420.0,315.0,惣菜,御飯類,弁当類
8,P040101009,04,401,40101,498.0,374.0,惣菜,御飯類,弁当類
9,P040101010,04,401,40101,580.0,435.0,惣菜,御飯類,弁当類
10,P040102001,04,401,40102,268.0,201.0,惣菜,御飯類,寿司類
11,P040102002,04,401,40102,268.0,201.0,惣菜,御飯類,寿司類
12,P040102003,04,401,40102,278.0,209.0,惣菜,御飯類,寿司類
13,P040102004,04,401,40102,318.0,239.0,惣菜,御飯類,寿司類
14,P040102005,04,401,40102,318.0,239.0,惣菜,御飯類,寿司類
15,P040102006,04,401,40102,318.0,239.0,惣菜,御飯類,寿司類
16,P040102007,04,401,40102,338.0,254.0,惣菜,御飯類,寿司類
17,P040102008,04,401,40102,358.0,269.0,惣菜,御飯類,寿司類
18,P040102009,04,401,40102,358.0,269.0,惣菜,御飯類,寿司類
19,P040102010,04,401,40102,358.0,269.0,惣菜,御飯類,寿司類
20,P040102011,04,401,40102,358.0,269.0,惣菜,御飯類,寿司類
21,P040102012,04,401,40102,358.0,269.0,惣菜,御飯類,寿司類
22,P040102013,04,401,40102,398.0,299.0,惣菜,御飯類,寿司類
23,P040102014,04,401,40102,398.0,299.0,惣菜,御飯類,寿司類
24,P040102015,04,401,40102,398.0,299.0,惣菜,御飯類,寿司類
25,P040102016,04,401,40102,398.0,299.0,惣菜,御飯類,寿司類
26,P040102017,04,401,40102,438.0,329.0,惣菜,御飯類,寿司類
27,P040102018,04,401,40102,498.0,374.0,惣菜,御飯類,寿司類
28,P040102019,04,401,40102,598.0,449.0,惣菜,御飯類,寿司類
29,P040102020,04,401,40102,980.0,735.0,惣菜,御飯類,寿司類
30,P040102021,04,401,40102,1780.0,1335.0,惣菜,御飯類,寿司類
31,P040102022,04,401,40102,3000.0,2250.0,惣菜,御飯類,寿司類
32,P040102023,04,401,40102,5000.0,3750.0,惣菜,御飯類,寿司類
33,P040102024,04,401,40102,5000.0,3750.0,惣菜,御飯類,寿司類
34,P040201001,04,402,40201,148.0,111.0,惣菜,佃煮類,魚介佃煮類
35,P040201002,04,402,40201,178.0,134.0,惣菜,佃煮類,魚介佃煮類
36,P040201003,04,402,40201,198.0,149.0,惣菜,佃煮類,魚介佃煮類
37,P040201004,04,402,40201,248.0,186.0,惣菜,佃煮類,魚介佃煮類
38,P040201005,04,402,40201,258.0,194.0,惣菜,佃煮類,魚介佃煮類
39,P040201006,04,402,40201,298.0,224.0,惣菜,佃煮類,魚介佃煮類
40,P040202001,04,402,40202,178.0,134.0,惣菜,佃煮類,海草佃煮類
41,P040202002,04,402,40202,178.0,134.0,惣菜,佃煮類,海草佃煮類
42,P040202003,04,402,40202,178.0,134.0,惣菜,佃煮類,海草佃煮類
43,P040202004,04,402,40202,178.0,134.0,惣菜,佃煮類,海草佃煮類
44,P040202005,04,402,40202,178.0,134.0,惣菜,佃煮類,海草佃煮類
45,P040202006,04,402,40202,178.0,134.0,惣菜,佃煮類,海草佃煮類
46,P040202007,04,402,40202,178.0,134.0,惣菜,佃煮類,海草佃煮類
47,P040202008,04,402,40202,178.0,134.0,惣菜,佃煮類,海草佃煮類
48,P040202009,04,402,40202,198.0,149.0,惣菜,佃煮類,海草佃煮類
49,P040202010,04,402,40202,198.0,149.0,惣菜,佃煮類,海草佃煮類
50,P040202011,04,402,40202,198.0,149.0,惣菜,佃煮類,海草佃煮類
51,P040202012,04,402,40202,298.0,224.0,惣菜,佃煮類,海草佃煮類
52,P040203001,04,402,40203,188.0,141.0,惣菜,佃煮類,野菜佃煮類
53,P040203002,04,402,40203,428.0,321.0,惣菜,佃煮類,野菜佃煮類
54,P040204001,04,402,40204,158.0,119.0,惣菜,佃煮類,豆佃煮類
55,P040204002,04,402,40204,188.0,141.0,惣菜,佃煮類,豆佃煮類
56,P040204003,04,402,40204,188.0,141.0,惣菜,佃煮類,豆佃煮類
57,P040204004,04,402,40204,188.0,141.0,惣菜,佃煮類,豆佃煮類
58,P040204005,04,402,40204,198.0,149.0,惣菜,佃煮類,豆佃煮類
59,P040204006,04,402,40204,198.0,149.0,惣菜,佃煮類,豆佃煮類
60,P040204007,04,402,40204,198.0,149.0,惣菜,佃煮類,豆佃煮類
61,P040204008,04,402,40204,198.0,149.0,惣菜,佃煮類,豆佃煮類
62,P040204009,04,402,40204,398.0,299.0,惣菜,佃煮類,豆佃煮類
63,P040301001,04,403,40301,248.0,186.0,惣菜,サラダ類,サラダ類
64,P040301002,04,403,40301,248.0,186.0,惣菜,サラダ類,サラダ類
65,P040301003,04,403,40301,278.0,209.0,惣菜,サラダ類,サラダ類
66,P040301004,04,403,40301,298.0,224.0,惣菜,サラダ類,サラダ類
67,P040301005,04,403,40301,298.0,224.0,惣菜,サラダ類,サラダ類
68,P040401001,04,404,40401,118.0,89.0,惣菜,和風惣菜,炒め・煮物類
69,P040401002,04,404,40401,138.0,104.0,惣菜,和風惣菜,炒め・煮物類
70,P040401003,04,404,40401,198.0,149.0,惣菜,和風惣菜,炒め・煮物類
71,P040401004,04,404,40401,228.0,171.0,惣菜,和風惣菜,炒め・煮物類
72,P040401005,04,404,40401,228.0,171.0,惣菜,和風惣菜,炒め・煮物類
73,P040401006,04,404,40401,248.0,186.0,惣菜,和風惣菜,炒め・煮物類
74,P040401007,04,404,40401,258.0,194.0,惣菜,和風惣菜,炒め・煮物類
75,P040401008,04,404,40401,278.0,209.0,惣菜,和風惣菜,炒め・煮物類
76,P040401009,04,404,40401,278.0,209.0,惣菜,和風惣菜,炒め・煮物類
77,P040401010,04,404,40401,298.0,224.0,惣菜,和風惣菜,炒め・煮物類
78,P040401011,04,404,40401,298.0,224.0,惣菜,和風惣菜,炒め・煮物類
79,P040401012,04,404,40401,338.0,254.0,惣菜,和風惣菜,炒め・煮物類
80,P040401013,04,404,40401,358.0,269.0,惣菜,和風惣菜,炒め・煮物類
81,P040401014,04,404,40401,398.0,299.0,惣菜,和風惣菜,炒め・煮物類
